11,19,25,26,24,22,20,18,15,10,8,13,16,14,13,14,16,19,24,27,21,13,13,18,19,24,24,18,17,20,17,8,1,9,22,27,17,3,6,18,17,24,25,21,24,35,41,40,47,59,69,68,63,61,59,56,57,54,67,76,73,82,88,75,75,66,70,78,76,71,62,49,42,42,45,49,46,36,27,24,30,26,24,25,25,22,21,23,28,25,15,6,8,19,22,17,14,12,11,14,18,21,20,18,16,14,14,19,24,24,18,12,5,1,7,16,23,28,21,2,8,15,26,31,27,18,14,14,24,15,3,0,1,11,18,21,25,20,19,24,30,33,35,38,42,45,48,49,51,52,49,44,41,48,55,48,37,41,49,44,36,45,61,75,76,68,64,66,63,61,58,55,55,57,61,64,68,63,55,47,39,33,34,37,40,49,48,32,51,46,51,58,55,41,35,37,42,52,57,51,47,29,30,47,43,23,28,52,56,68,82,83,71,57,53,55,69,73,73,68,64,64,63,61,62,59,53,45,40,38,36,34,13,18,21,23,34,47,51,46,49,45,40,36,37,41,47,51,49,46,58,65,59,60,59,43
19,21,25,27,25,20,17,17,15,11,10,13,15,13,14,16,22,20,19,18,13,9,15,24,26,24,20,18,22,27,25,20,10,11,17,22,16,5,6,14,18,27,31,30,32,40,43,40,49,55,60,59,59,62,63,60,74,55,57,70,74,81,87,80,76,66,65,66,59,56,58,55,66,63,57,51,45,41,39,37,22,19,20,26,28,22,14,10,23,20,13,8,10,15,17,16,15,14,13,11,10,10,11,12,13,10,8,10,15,19,21,20,14,2,5,19,25,23,15,3,0,9,21,24,18,10,3,0,25,22,16,10,9,13,20,25,17,18,24,33,39,43,49,55,48,48,46,42,42,43,42,38,29,38,43,33,28,44,50,37,34,39,50,64,71,70,69,70,69,60,51,49,53,57,57,54,60,58,54,49,45,44,44,43,36,42,39,19,34,33,47,59,58,44,36,35,37,49,58,56,54,45,43,49,47,41,45,58,60,68,77,81,75,65,56,52,62,70,76,75,72,71,69,67,62,58,52,45,40,36,34,32,31,35,34,27,27,37,45,46,48,43,37,33,34,37,43,46,47,46,51,53,48,48,53,52
20,18,21,26,24,17,14,17,15,13,12,13,12,12,15,19,21,18,16,12,8,8,14,23,25,17,14,21,31,35,33,31,24,18,15,18,17,11,10,14,27,34,37,36,38,46,49,47,47,48,51,55,62,67,65,60,56,44,53,74,78,76,76,75,74,66,66,65,55,54,62,65,64,69,68,61,54,51,42,33,32,27,26,33,37,31,21,15,17,14,13,14,14,13,14,18,9,10,10,7,4,5,10,15,8,6,4,5,10,16,20,23,22,5,7,23,25,17,10,5,8,21,30,27,19,15,11,7,21,21,19,14,8,6,9,13,17,22,34,46,54,59,67,76,68,65,57,47,43,44,43,40,30,25,26,29,29,37,43,38,42,37,36,45,58,70,80,87,80,63,47,45,54,59,52,42,46,48,46,43,45,50,48,42,28,32,32,14,24,21,37,48,60,45,37,33,32,45,60,62,60,60,57,52,52,59,66,70,69,70,74,78,80,74,61,50,55,67,78,83,84,82,77,71,62,57,51,45,40,35,30,28,35,43,43,33,25,30,38,42,44,40,35,32,32,35,38,39,42,46,45,43,39,32,36,50
11,12,19,26,21,11,11,19,15,15,14,12,10,11,16,22,13,15,17,16,13,10,12,15,14,6,8,23,34,33,31,34,34,25,19,20,20,18,19,21,39,42,40,37,39,49,57,59,39,40,46,58,72,76,69,59,47,54,70,83,80,72,72,75,70,66,71,73,62,56,57,55,56,63,63,54,53,59,58,49,45,37,31,31,32,29,27,26,15,12,15,21,21,16,17,24,16,15,14,11,10,13,18,23,6,3,2,5,11,15,15,13,20,12,16,24,19,13,12,9,8,17,19,8,0,1,4,3,15,11,8,8,8,6,5,5,18,23,35,49,60,68,77,86,86,82,73,62,57,57,55,52,49,20,21,43,42,27,33,49,52,48,45,49,58,68,76,81,87,70,54,53,62,65,54,41,38,39,35,31,37,46,43,33,26,30,39,31,40,32,38,38,48,36,29,24,22,36,53,58,61,65,64,57,56,65,76,82,79,79,78,79,82,80,68,56,52,62,74,85,92,92,84,73,64,58,52,49,44,36,30,27,27,40,48,42,36,36,39,39,38,36,34,35,36,37,36,34,37,45,43,41,41,24,18,35
6,13,24,27,18,7,9,20,16,16,15,12,10,12,18,22,14,18,22,22,19,16,14,13,11,2,4,17,22,18,20,28,32,28,24,23,23,23,25,29,41,42,41,39,42,50,58,62,33,34,42,59,76,82,76,68,71,82,86,81,80,81,80,79,63,58,64,71,64,55,47,36,32,49,62,64,65,66,55,39,37,31,24,19,14,12,16,22,18,16,19,27,27,22,23,29,34,29,24,21,21,22,23,22,13,6,0,1,7,11,8,3,12,18,27,23,11,13,18,14,17,23,21,11,4,6,9,9,20,10,5,11,18,18,14,12,11,12,22,39,57,70,80,87,84,84,79,73,71,72,70,66,61,32,33,58,54,33,39,59,55,60,65,68,68,65,61,56,82,71,62,63,71,73,65,55,48,42,32,28,35,44,40,29,33,33,49,54,67,58,57,45,31,21,17,15,13,25,42,46,59,61,64,63,59,61,75,90,88,90,88,84,83,82,76,68,49,54,62,76,91,98,90,77,69,62,58,57,53,44,35,32,30,41,49,47,44,45,43,38,34,34,36,41,44,43,39,34,38,44,40,40,43,28,16,26
10,20,29,25,14,7,11,18,16,17,15,11,11,15,19,21,22,25,26,24,21,21,20,18,17,7,3,8,8,5,10,19,24,24,24,24,24,24,26,28,31,34,38,41,44,48,52,54,36,35,42,58,73,80,80,78,67,77,73,71,87,95,81,65,55,47,53,65,66,63,56,44,35,47,58,58,54,44,28,12,29,26,23,19,13,9,14,21,24,22,22,25,26,25,26,28,28,24,20,20,22,24,22,20,24,14,2,0,2,6,7,5,6,20,32,23,9,15,23,18,7,9,9,8,5,2,0,0,34,24,19,22,24,19,13,11,7,7,15,33,52,66,76,81,72,76,78,79,82,85,83,78,58,47,51,60,56,51,54,56,53,58,60,60,60,60,59,57,68,64,61,66,74,78,75,71,64,49,34,33,43,50,44,35,32,26,46,58,75,70,72,57,30,21,19,17,16,27,41,44,55,54,59,65,61,55,66,84,86,93,95,89,84,83,81,76,49,48,50,61,79,92,90,81,74,66,62,65,62,52,42,39,39,45,45,40,40,44,43,38,36,36,39,45,50,49,43,37,40,41,37,35,39,35,27,27
16,25,26,16,8,11,16,17,17,18,15,11,12,18,20,19,24,27,28,24,22,22,20,16,17,10,5,8,10,9,8,10,18,20,23,26,27,27,24,22,21,24,29,34,38,40,44,46,44,44,51,62,70,71,70,70,53,60,56,65,91,95,71,55,60,52,59,71,75,74,69,59,67,60,49,38,31,30,32,33,34,29,26,25,23,21,26,32,29,27,22,18,19,22,22,19,14,15,16,18,19,20,20,19,27,22,14,8,6,8,11,14,10,18,28,25,14,16,23,20,24,18,17,24,26,19,15,17,27,27,30,31,21,7,6,13,11,12,20,32,43,49,54,59,63,69,75,78,83,86,83,78,57,50,53,59,58,59,57,46,46,46,43,41,45,52,54,51,59,55,53,58,66,73,75,73,68,46,31,37,51,53,47,41,25,17,40,54,68,65,72,58,42,32,27,26,25,35,46,47,51,49,53,59,57,51,54,63,72,84,90,86,81,80,78,72,56,51,46,47,59,74,80,79,71,63,60,66,65,54,43,40,41,46,45,39,39,47,50,48,43,41,42,46,51,51,46,41,36,35,36,32,29,34,33,21
17,23,19,5,4,15,21,17,18,18,14,11,14,20,21,17,18,24,27,25,23,21,16,8,10,7,7,14,21,20,11,3,16,18,22,27,31,31,24,16,18,19,20,24,28,33,40,46,50,53,62,71,71,63,56,54,69,69,59,65,85,82,66,66,76,69,75,84,81,74,65,53,53,56,63,70,70,63,55,53,38,30,22,21,24,27,33,39,32,30,21,11,12,18,18,11,17,21,24,24,20,17,16,17,23,27,28,23,16,13,17,22,16,14,22,27,20,17,21,21,30,16,11,20,25,19,18,23,4,16,32,35,19,3,11,29,15,18,24,30,29,25,25,28,58,64,69,72,75,77,73,67,62,44,45,60,63,55,47,40,37,38,40,42,46,45,32,18,57,51,46,48,57,65,68,68,62,37,23,36,52,52,45,42,23,16,42,57,66,61,69,56,50,37,30,28,27,36,47,46,47,46,48,51,52,50,46,43,57,72,82,80,76,76,72,64,64,58,48,40,44,57,69,73,66,58,56,63,63,51,41,38,38,47,51,48,50,59,64,64,49,45,43,45,49,51,48,43,27,29,37,32,22,29,30,8
16,15,10,4,9,18,19,13,14,22,23,17,17,24,22,13,9,15,24,29,22,11,6,9,7,9,13,18,22,23,22,20,9,21,26,26,25,15,4,5,28,24,23,29,37,43,50,57,53,41,42,56,63,59,63,74,69,65,70,80,77,67,69,81,76,87,78,68,77,74,59,54,52,60,70,71,70,76,68,46,27,27,22,19,27,40,41,32,30,21,12,12,19,24,19,11,21,17,11,11,16,20,15,6,15,21,24,21,15,13,15,17,18,19,13,14,24,23,16,15,24,16,12,14,14,7,4,6,18,18,19,24,32,37,31,21,18,20,23,27,36,46,56,61,64,72,78,74,61,48,44,46,57,57,57,57,60,63,61,58,40,48,50,44,41,42,38,30,34,41,39,34,46,64,64,50,51,36,32,42,49,43,39,43,36,45,43,52,58,58,60,49,43,35,24,16,18,30,42,50,46,43,46,46,45,53,56,47,52,52,62,75,77,68,62,63,56,44,52,54,29,19,40,57,50,50,54,55,55,58,45,18,27,39,51,55,56,60,66,71,71,57,37,27,38,54,52,40,34,32,27,13,5,19,28,19
17,12,10,13,18,20,22,23,27,27,22,17,18,21,16,6,10,12,17,20,16,9,9,12,9,14,20,25,26,25,23,22,21,27,24,19,18,12,8,14,28,21,18,28,46,60,62,58,54,58,54,43,38,46,61,70,75,74,81,91,90,79,71,71,86,93,79,64,68,71,67,70,62,61,64,64,62,65,57,38,27,24,16,12,20,34,38,32,24,19,14,12,13,14,10,6,10,10,11,17,26,28,18,4,12,17,21,20,16,13,12,12,11,13,7,6,13,13,10,13,10,7,10,20,24,18,12,12,31,28,26,31,40,41,25,8,17,16,16,21,30,42,51,56,61,66,71,71,66,60,58,59,62,60,63,69,69,60,51,47,40,47,49,44,43,47,46,41,47,51,46,38,41,51,51,42,30,25,31,43,45,38,39,48,42,47,42,51,57,53,50,34,38,24,8,5,15,29,37,39,49,43,42,43,45,55,60,51,58,54,56,63,63,52,44,44,45,39,50,57,41,33,44,51,38,37,40,41,44,55,54,39,25,32,43,52,59,64,70,75,70,60,42,27,29,42,48,45,33,31,29,20,13,20,27,20
